id,curr_time,coin,time_horizon_minutes,interval_start_unix,market_slug,condition_id,strike_price,end_date,liquidity,volume,open_interest,yes_implied_price,no_implied_price,yes_buy_price,yes_sell_price,no_buy_price,no_sell_price
0,2026-03-21T11:29:29.69382+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
1,2026-03-21T11:29:29.69382+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.28,0.29,0.71,0.72
2,2026-03-21T11:29:29.69382+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
3,2026-03-21T11:29:30.694929+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,7580.3707,26607.89416100002,,0.805,0.195,0.984,0.997,0.003,0.016
4,2026-03-21T11:29:30.694929+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
5,2026-03-21T11:29:30.694929+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.28,0.29,0.71,0.72
6,2026-03-21T11:29:30.694929+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
7,2026-03-21T11:29:31.696092+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,7580.3707,26607.89416100002,,0.805,0.195,0.984,0.997,0.003,0.016
8,2026-03-21T11:29:31.696092+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
9,2026-03-21T11:29:31.696092+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.26,0.74,0.91
10,2026-03-21T11:29:31.696092+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
11,2026-03-21T11:29:32.697571+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,7580.3707,26607.89416100002,,0.805,0.195,0.984,0.99,0.01,0.016
12,2026-03-21T11:29:32.697571+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
13,2026-03-21T11:29:32.697571+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.26,0.74,0.91
14,2026-03-21T11:29:32.697571+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
15,2026-03-21T11:29:33.698354+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
16,2026-03-21T11:29:33.698354+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
17,2026-03-21T11:29:33.698354+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
18,2026-03-21T11:29:33.698354+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
19,2026-03-21T11:29:34.699278+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
20,2026-03-21T11:29:34.699278+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
21,2026-03-21T11:29:34.699278+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
22,2026-03-21T11:29:34.699278+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
23,2026-03-21T11:29:35.699793+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
24,2026-03-21T11:29:35.699793+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
25,2026-03-21T11:29:35.699793+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
26,2026-03-21T11:29:35.699793+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
27,2026-03-21T11:29:36.85484+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
28,2026-03-21T11:29:36.85484+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
29,2026-03-21T11:29:36.85484+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
30,2026-03-21T11:29:36.85484+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
31,2026-03-21T11:29:37.855635+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
32,2026-03-21T11:29:37.855635+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
33,2026-03-21T11:29:37.855635+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
34,2026-03-21T11:29:37.855635+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
35,2026-03-21T11:29:38.856174+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
36,2026-03-21T11:29:38.856174+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
37,2026-03-21T11:29:38.856174+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
38,2026-03-21T11:29:38.856174+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
39,2026-03-21T11:29:39.857077+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.99,0.998,0.002,0.01
40,2026-03-21T11:29:39.857077+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
41,2026-03-21T11:29:39.857077+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
42,2026-03-21T11:29:39.857077+00:00,SOL,15,1774091700,sol-updown-15m-1774091700,0x4f7068e13292b98c0ab8924552cd951c75cf2c86f59f54e777e485406811779a,90.12,2026-03-21T11:30:00+00:00,2181.8899,4555.551846000003,,0.945,0.055,0.999,1.0,0.0,0.001
43,2026-03-21T11:29:40.857788+00:00,BTC,15,1774091700,btc-updown-15m-1774091700,0x646f875edc6386881c22c4f728a3e98b5a13d104b39f800d0e9ba1c80682235e,70605.91,2026-03-21T11:30:00+00:00,10779.97362,41829.38946300004,,0.9895,0.0105,0.991,0.998,0.002,0.009
44,2026-03-21T11:29:40.857788+00:00,ETH,15,1774091700,eth-updown-15m-1774091700,0x796d82b655d7225eef33ff331462427fa40331dd07c58ed1fc3eeb99a5b812a2,2154.91,2026-03-21T11:30:00+00:00,1925.8209,12735.108354000002,,0.955,0.045,0.997,0.999,0.001,0.003
45,2026-03-21T11:29:40.857788+00:00,XRP,15,1774091700,xrp-updown-15m-1774091700,0x4cbe3f88eef99b1a9de90dd80016441529e2ff15a3ef782499ffc636df7fe6d1,1.4404,2026-03-21T11:30:00+00:00,669.5511,4350.138726,,0.24,0.76,0.09,0.29,0.71,0.91
