horizon_seconds,experiment,family,target_mode,feature_group,params_json,n_features,n_train_rows,n_fit_rows,n_test_rows,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p0025,avg_realized_pnl_thr_0p0025,total_realized_pnl_thr_0p0025,coverage_thr_0p005,avg_realized_pnl_thr_0p005,total_realized_pnl_thr_0p005,coverage_thr_0p01,avg_realized_pnl_thr_0p01,total_realized_pnl_thr_0p01,coverage_thr_0p02,avg_realized_pnl_thr_0p02,total_realized_pnl_thr_0p02,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p075,avg_realized_pnl_thr_0p075,total_realized_pnl_thr_0p075,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1,coverage_thr_0p15,avg_realized_pnl_thr_0p15,total_realized_pnl_thr_0p15,coverage_thr_0p2,avg_realized_pnl_thr_0p2,total_realized_pnl_thr_0p2
10,ridge_delta_all_alpha_10,ridge,delta,all,"{""alpha"": 10.0}",56,744958,744958,186336,2.622,0.04940424469339315,0.024788519748676963,0.9770790587787707,0.32632326703454523,0.8486033645643689,0.7602492449751796,0.3809979673989115,0.05,0.01934140477417139,0.3706992230854606,0.05245144284128745,189.03499999999997,1632,1972,1.0,0.0025629024987120037,477.5609999999999,0.8262761892495277,0.004894476017276652,753.5779999999997,0.683394513137558,0.007510998028914488,956.4579999999997,0.46098445818306716,0.01320572073855037,1134.3449999999998,0.19997746007212777,0.024881410514451332,927.156,0.01934140477417139,0.05245144284128745,189.03499999999997,0.003450755624248669,0.08512597200622084,54.736,0.0008157307229950197,0.11677631578947369,17.75,0.000037566546453718016,0.156,1.092,0.0,0.0,0.0
10,ridge_price_all_alpha_10,ridge,price,all,"{""alpha"": 10.0}",56,744958,744958,186336,3.285,0.04940453991924306,0.02478891774975513,0.9770787848397755,0.32632326703454523,0.8486024598607215,0.7603013156524456,0.3809776762590947,0.05,0.01934140477417139,0.3706992230854606,0.05231298557158711,188.53599999999994,1633,1971,1.0,0.0025692244118152153,478.739,0.8262976558475013,0.004898174307815207,754.1669999999997,0.6833408466426241,0.007505045903982532,955.6249999999998,0.46101665808002745,0.013219826783386103,1135.6359999999997,0.19993452687618066,0.024903529727553345,927.7809999999998,0.01934140477417139,0.05231298557158711,188.53599999999994,0.0034561222737420575,0.08504037267080745,54.766,0.0008210973724884081,0.11581699346405228,17.72,0.000037566546453718016,0.156,1.092,0.0,0.0,0.0
10,ridge_delta_cross_alpha_1000,ridge,delta,kalshi_cross_coin,"{""alpha"": 1000.0}",43,744958,744958,186336,1.994,0.05153591805851985,0.023208371968953007,0.9750584204869464,0.32632326703454523,0.8420709668456949,0.6719547332245634,0.2631691713685699,0.02,0.08054267559677142,0.26765724946695096,0.018410114605543707,276.299,6728,8280,1.0,-0.0013105411729349133,-244.201,0.7163564743259488,0.0015771896046687574,210.52799999999976,0.506289713206251,0.004607515369938519,434.67299999999983,0.2523505924781041,0.00920301135638637,432.7439999999999,0.08054267559677142,0.018410114605543707,276.299,0.0056135153700841494,0.058978967495219886,61.692,0.001287995878413189,0.11028333333333334,26.468000000000004,0.00045616520693800446,0.08478823529411765,7.207,0.00011806628885454233,0.06140909090909094,1.3510000000000006,5.366649493388288e-6,-0.0040000000000000036,-0.0040000000000000036
10,elastic_net_delta_all,elastic_net,delta,all,"{""alpha"": 0.0005, ""l1_ratio"": 0.15}",56,744958,300000,186336,12.402,0.049687990474647885,0.024391502851501802,0.9768150168131526,0.32632326703454523,0.8477338409663941,0.7524212864928663,0.36990505330870904,0.05,0.015209084664262408,0.3585038814396613,0.05490684544812985,155.606,1299,1535,1.0,0.0025948930963420914,483.522,0.8125858663918942,0.005192445876867396,786.2089999999998,0.6586113257770908,0.008077679000676317,991.3169999999998,0.42359501116263093,0.01384086100518174,1092.473,0.1699993560020608,0.025815860087760836,817.769,0.015209084664262408,0.05490684544812985,155.606,0.002774557788081745,0.0825357833655706,42.671,0.0006332646402198179,0.10498305084745765,12.388000000000003,0.00002146659797355315,0.12650000000000003,0.5060000000000001,0.0,0.0,0.0
10,sgd_huber_delta_all,sgd_huber,delta,all,"{""alpha"": 0.0001, ""epsilon"": 0.01}",56,744958,400000,186336,8.225,0.05271235322692177,0.019720131684081682,0.9739067167390747,0.32632326703454523,0.8384658449091172,0.7873954247231576,0.3192947857819158,0.005,0.03657908294693457,0.3108861502347418,0.029947036384976523,204.11899999999997,3283,3533,1.0,0.0028405085437059933,529.289,0.18503670788253476,0.01940819049276371,669.175,0.03657908294693457,0.029947036384976523,204.11899999999997,0.0031663232010990896,0.030869491525423717,18.212999999999994,0.00007513309290743603,-0.01100000000000001,-0.15400000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,hist_gbr_delta_all,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,744958,300000,186336,7.806,0.04172659168366788,0.021968390588271797,0.9836495487359987,0.32632326703454523,0.8721311169048493,0.8059152289374111,0.6272461228042376,0.1,0.016325347758887172,0.6341222879684418,0.15946679815910583,485.09799999999996,1441,1601,1.0,0.004294221191825519,800.1679999999999,0.7925789970805427,0.007464282328724455,1102.37,0.6056210286793748,0.01179466366560625,1331.0159999999996,0.40724819680577024,0.02051450220728734,1556.7429999999997,0.21729563798729176,0.03873020498888614,1568.1859999999997,0.059000944530310837,0.09071539021284337,997.325,0.028786707882534776,0.12809451901565994,687.0989999999999,0.016325347758887172,0.15946679815910583,485.09799999999996,0.0064024128456122275,0.21551299245599326,257.10699999999997,0.0030428902627511593,0.24446560846560847,138.612
10,hist_gbr_price_all,hist_gbr,price,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,744958,300000,186336,6.508,0.04141827768998309,0.02233969574060567,0.9838902800639238,0.32632326703454523,0.8730759284608459,0.8172666365813864,0.6324207315440045,0.1,0.018917439464193716,0.6039716312056738,0.14794524822695038,521.5070000000001,1772,1753,1.0,0.004578771681263954,853.19,0.8077773484458183,0.007470794190728018,1124.4889999999998,0.6481356259659969,0.011035430691142739,1332.7599999999998,0.44662867078825347,0.01874349638921932,1559.8899999999994,0.24566911385883566,0.03558092491862725,1628.7879999999998,0.06724411815215525,0.08655833998403831,1084.576,0.03249506268246608,0.12077126341866226,731.27,0.018917439464193716,0.14794524822695038,521.5070000000001,0.00733620985746179,0.19359765910753476,264.648,0.003193156448566031,0.2540386554621849,151.15300000000002
10,extra_trees_delta_all,extra_trees,delta,all,"{""max_depth"": 12, ""min_samples_leaf"": 50, ""n_estimators"": 80}",56,744958,160000,186336,13.991,0.04744900431077592,0.023466165924662233,0.9788574130063463,0.32632326703454523,0.8545950929519442,0.7887492623320721,0.4882594758186574,0.05,0.01779580972007556,0.485524728588661,0.10933142340168879,362.543,1643,1673,1.0,0.0033983073587497852,633.227,0.7626062596599691,0.0064145994750212845,911.5209999999995,0.626175296239052,0.009445864294346023,1102.1339999999996,0.4295680920487721,0.016022012892908895,1282.4659999999994,0.18870749613601237,0.034160964650342684,1201.2019999999998,0.01779580972007556,0.10933142340168879,362.543,0.002366692426584235,0.1871519274376417,82.53399999999999,0.00009659969088098918,0.35833333333333334,6.45,0.0,0.0,0.0,0.0,0.0,0.0
10,random_forest_delta_all,random_forest,delta,all,"{""max_depth"": 12, ""min_samples_leaf"": 50, ""n_estimators"": 60}",56,744958,120000,186336,22.611,0.04402629402947839,0.022702507741697756,0.9817976199122792,0.32632326703454523,0.8650838034640733,0.8137779012045684,0.5717968584139906,0.1,0.011758329040013739,0.5864901871291648,0.14869009584664536,325.78,775,1416,0.9916548600377812,0.004282621048700894,791.347,0.7328159883221707,0.008248019040644448,1126.2669999999994,0.6037319680577022,0.011630790154404115,1308.4289999999996,0.43174695174308775,0.018683729024238652,1503.1059999999995,0.24557788081744805,0.03259392482517482,1491.4979999999998,0.056446419371458015,0.08191015402167712,861.531,0.02423042246264812,0.11811295681063122,533.28,0.011758329040013739,0.14869009584664536,325.78,0.003021423664777606,0.18905683836589698,106.43900000000001,0.00016099948480164864,0.29083333333333333,8.725
10,mlp_delta_all,mlp,delta,all,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001}",56,744958,160000,186336,52.927,0.03813856159557356,0.016879486359149456,0.9863405712118747,0.32632326703454523,0.8831264410222514,0.8046828895754504,0.702505237722803,0.15,0.014302120899879787,0.7861163227016885,0.18240637898686682,486.11300000000006,1389,1276,1.0,0.004388497123475871,817.7349999999999,0.5887160827752018,0.014515583551354159,1592.3449999999998,0.4045058389146488,0.025325218245018172,1908.8629999999998,0.28499055469689166,0.03827888671286531,2032.7619999999997,0.19880753048256913,0.05369086246457011,1988.9779999999998,0.0923332045337455,0.08912287125835512,1533.359,0.050323072299501975,0.12008414204969606,1126.029,0.029500472265155418,0.148998544660724,819.045,0.014302120899879787,0.18240637898686682,486.11300000000006,0.008044607590589043,0.21328552368245499,319.71500000000003
