horizon_seconds,experiment,family,target_mode,feature_group,params_json,n_features,n_train_rows,n_fit_rows,n_test_rows,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p0025,avg_realized_pnl_thr_0p0025,total_realized_pnl_thr_0p0025,coverage_thr_0p005,avg_realized_pnl_thr_0p005,total_realized_pnl_thr_0p005,coverage_thr_0p01,avg_realized_pnl_thr_0p01,total_realized_pnl_thr_0p01,coverage_thr_0p02,avg_realized_pnl_thr_0p02,total_realized_pnl_thr_0p02,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p075,avg_realized_pnl_thr_0p075,total_realized_pnl_thr_0p075,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1,coverage_thr_0p15,avg_realized_pnl_thr_0p15,total_realized_pnl_thr_0p15,coverage_thr_0p2,avg_realized_pnl_thr_0p2,total_realized_pnl_thr_0p2
30,hist_gbr_delta_all_iter160_lr0.03_leaf15_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 160, ""max_leaf_nodes"": 15}",56,722535,500000,180973,7.203,0.06563151927161241,0.0408351786956734,0.9603506042911844,0.32960528849105813,0.8008784398694715,0.7536491905539878,0.7083886171963614,0.2,0.014764633398352241,0.9565868263473054,0.28888922155688623,771.912,1156,1516,1.0,0.027962226409464396,5060.408,0.907544219303432,0.031464427274553855,5167.749,0.8346604189575241,0.03464762232623418,5233.557999999999,0.7168141103921579,0.040799420307730254,5292.664,0.5213816425654656,0.05482380558735003,5172.955,0.2481198852867555,0.09248756207825756,4152.968999999999,0.1364568195255646,0.1253880137679692,3096.457,0.07827134434418394,0.1608837980938934,2278.919,0.03044100501179734,0.22818043202033036,1257.046,0.014764633398352241,0.28888922155688623,771.912
30,hist_gbr_delta_all_iter160_lr0.03_leaf31_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,722535,500000,180973,7.609,0.06381982771391774,0.03940641395582418,0.9625093549928516,0.32960528849105813,0.8063749886839298,0.7597504826971633,0.7271542512849024,0.2,0.016704149237731596,0.9566655640092623,0.2835451538207079,857.1569999999999,1367,1656,1.0,0.028719389080139022,5197.433999999999,0.9086493565338476,0.03220769759366581,5296.266,0.8341354787730767,0.03559506081242216,5373.288,0.7093820625176132,0.04237845753588983,5440.504,0.5205251612118935,0.056562881498073266,5328.28,0.25411525476176006,0.0942887057493259,4336.148999999999,0.14415410033540915,0.1267661760196259,3307.076,0.08469771733905057,0.16061514874739038,2461.9089999999997,0.0341321633613854,0.22634353245912256,1398.124,0.016704149237731596,0.2835451538207079,857.1569999999999
30,hist_gbr_delta_all_iter160_lr0.06_leaf15_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 15}",56,722535,500000,180973,5.485,0.06344211857158348,0.039214731370581846,0.9629518085746153,0.32960528849105813,0.8075209325007399,0.7626733996732511,0.729359180419432,0.2,0.018743127427848352,0.948997641509434,0.26998466981132074,915.788,1531,1861,1.0,0.028906654583832944,5231.324,0.9063782995253435,0.032479900018289334,5327.678,0.8301790874881888,0.0359169928115016,5396.169,0.7050554502605361,0.0427537461989404,5455.206999999999,0.5219010570637609,0.0566798411858126,5353.411,0.25588900001657705,0.09456025826513205,4378.991,0.14599967951020318,0.12666293240481416,3346.688,0.08775342178114967,0.15796744537497637,2508.6809999999996,0.03579539489316086,0.22183405372028403,1437.041,0.018743127427848352,0.26998466981132074,915.788
30,hist_gbr_delta_all_iter160_lr0.06_leaf31_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,722535,500000,180973,6.95,0.06207374148850788,0.03783839510708097,0.9645327510065388,0.32960528849105813,0.8116724953877921,0.7696123570473786,0.7426200440057786,0.2,0.020389781901167577,0.9544715447154472,0.27003035230352307,996.412,1683,2007,1.0,0.029734634448232607,5381.165999999999,0.9036541362523691,0.0335038309373414,5479.116,0.8246368242776547,0.03716646006017275,5546.611,0.6926502848491212,0.04481421767676364,5617.507,0.5228956805711349,0.058284465814223814,5515.459,0.2615141485193924,0.09543269169818497,4516.543,0.15411691246760567,0.12608099386899,3516.5249999999996,0.0955114851386671,0.15602371998842926,2696.87,0.04072430694081437,0.21503202170963365,1584.786,0.020389781901167577,0.27003035230352307,996.412
30,hist_gbr_delta_all_iter320_lr0.03_leaf15_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 320, ""max_leaf_nodes"": 15}",56,722535,500000,180973,10.245,0.06355203269888428,0.03922183117498287,0.9628233246205775,0.32960528849105813,0.8071874605233818,0.7636595871082726,0.7281840912598084,0.2,0.018604985274046405,0.9527769527769527,0.27295010395010394,919.0229999999999,1593,1774,1.0,0.028965132920380388,5241.907,0.9044387836859642,0.032654237868022164,5344.812999999999,0.8291734126085106,0.03611796771914859,5419.789999999999,0.7049283594790383,0.042853675934562956,5466.972,0.5219286854945213,0.05680864962151288,5365.860999999999,0.2562868494195267,0.09427910135615877,4372.759,0.14688931498068772,0.12581822969567016,3344.6259999999997,0.0884717609809198,0.15710936231340952,2515.478,0.03587275449928995,0.22054559457794207,1431.782,0.018604985274046405,0.27295010395010394,919.0229999999999
30,hist_gbr_delta_all_iter320_lr0.03_leaf31_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 320, ""max_leaf_nodes"": 31}",56,722535,500000,180973,13.193,0.0618676823833026,0.03781050933545669,0.9647678333157501,0.32960528849105813,0.8122976646808839,0.7707708302391207,0.7448641743933451,0.2,0.01982616191365563,0.9545707915273133,0.27146014492753623,973.999,1644,1944,1.0,0.029780901018383963,5389.539000000001,0.903714918800042,0.03356563822241788,5489.592999999999,0.8225757433429296,0.03740886984092863,5568.834,0.6933133671873705,0.0448209227630289,5623.726,0.52368032800473,0.05833089942177014,5528.1359999999995,0.26272427378669744,0.09551766710133346,4541.483,0.15441529951981786,0.12703306494900699,3549.939,0.09517994396954242,0.15709027576197387,2705.88,0.039994916368740085,0.2174014921248964,1573.5520000000001,0.01982616191365563,0.27146014492753623,973.999
30,hist_gbr_delta_all_iter320_lr0.06_leaf15_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_iter"": 320, ""max_leaf_nodes"": 15}",56,722535,500000,180973,9.36,0.061817115099997544,0.037719736794211554,0.964825403497664,0.32960528849105813,0.812451082374928,0.7717213723451656,0.745222023000735,0.2,0.01998088112591381,0.9596238938053098,0.2728202433628319,986.518,1667,1949,1.0,0.029843385477391654,5400.847,0.9012891425792798,0.03374903285532987,5504.771,0.8195476673315909,0.03762931848215971,5581.03,0.6927331701414023,0.04497584672080149,5638.441999999999,0.5212987572731844,0.05866383650798698,5534.405,0.26071844971349317,0.0960872136150732,4533.682999999999,0.15429926011062423,0.1268950723392064,3543.418,0.0944560790836202,0.1572046917046917,2687.257,0.03940919363661983,0.21939133482894,1564.699,0.01998088112591381,0.2728202433628319,986.518
30,hist_gbr_delta_all_iter320_lr0.06_leaf31_l20.1,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_iter"": 320, ""max_leaf_nodes"": 31}",56,722535,500000,180973,11.607,0.06089918583971339,0.036753746800901405,0.9658622706753949,0.32960528849105813,0.8152360172419821,0.7779890093568989,0.7539578981519756,0.2,0.020815259734877578,0.9660207061322007,0.27334855322537827,1029.704,1689,2078,1.0,0.030264906919816766,5477.130999999999,0.8984378885248075,0.03434238251339233,5583.831,0.8172268791477182,0.03825294125601774,5657.456999999999,0.6944627099070027,0.045475298180284694,5715.29,0.5296093892459096,0.05867281548333247,5623.496,0.2666143568377603,0.09647247668393781,4654.797,0.15948787940742543,0.12670775733638223,3657.166,0.10011990738950009,0.15546365693470943,2816.846,0.04255330905715217,0.2152439942864563,1657.594,0.020815259734877578,0.27334855322537827,1029.704
30,hist_gbr_price_all_iter160_lr0.03_leaf15_l20.1,hist_gbr,price,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 160, ""max_leaf_nodes"": 15}",56,722535,500000,180973,6.752,0.06276738701451808,0.03912101630213354,0.9637356617920935,0.32960528849105813,0.8095680220973733,0.7412327342937769,0.7359249771863383,0.2,0.018853641150889913,0.9598475967174678,0.2729267291910903,931.226,1539,1873,1.0,0.029424930790780946,5325.118,0.9244307161841822,0.03243532759105065,5426.3330000000005,0.8481486188547462,0.035877172751674354,5506.8589999999995,0.71086294640637,0.043338608751078526,5575.382,0.5348532654042316,0.05677166973159493,5495.156999999999,0.2615141485193924,0.09427967122361443,4461.974,0.14751371751587253,0.12702352412346418,3391.02,0.08850491509783227,0.15751782481113816,2522.9629999999997,0.03735916407419891,0.21797692649016417,1473.742,0.018853641150889913,0.2729267291910903,931.226
30,hist_gbr_price_all_iter160_lr0.03_leaf31_l20.1,hist_gbr,price,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,722535,500000,180973,8.267,0.06152986127905219,0.037926599731740236,0.9651515449341088,0.32960528849105813,0.8133225909064216,0.7458488043962572,0.7478505418235828,0.2,0.019704596818309914,0.961581604038138,0.2767442512619181,986.8699999999999,1647,1919,1.0,0.029686859365761747,5372.52,0.9179435606416427,0.03299513613406933,5481.251,0.834450442883745,0.03677167528623363,5553.000999999999,0.6931089167997436,0.04483206307699667,5623.465,0.5293994131721307,0.05794813531370359,5551.8369999999995,0.2653489747089345,0.09545269777805544,4583.734,0.15228791035126787,0.12773733671988388,3520.441,0.09195846894288098,0.1588849897848816,2644.1639999999998,0.039514181673509306,0.21939532932456998,1568.896,0.019704596818309914,0.2767442512619181,986.8699999999999
