horizon_seconds,experiment,feature_group,target_mode,alpha,n_test_rows,n_features,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p01,avg_realized_pnl_thr_0p01,total_realized_pnl_thr_0p01,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1
60,persistence,none,persistence,0.0,187088,0,0.034,0.1301561423935203,0.0856690594800308,0.8391413262315807,0.32452071673952126,0.59892809401752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,trend_5s,none,trend_5s,0.0,185923,2,0.042,0.18346520301999691,0.11340692383406036,0.6820056468634457,0.32534489892575935,0.4360901196675533,0.09034345583387353,0.004168666597609833,0.0,0.1591034998359536,0.47155268584564414,-0.011112572259220448,-328.72100000000006,14765,14816,0.1591034998359536,-0.011112572259220448,-328.72100000000006,0.14795372277770905,-0.011694088992293157,-321.68100000000015,0.13101660364774664,-0.013326942813744412,-324.63100000000014,0.11514982008681013,-0.01349208276892896,-288.8520000000001
60,ridge_price_kalshi_core_alpha_0.1,kalshi_core,price,0.1,173109,16,0.41,0.1298601154681071,0.08481926561224308,0.8494508367057232,0.3346852798500043,0.6119933463273125,0.5933789668710048,0.258080802111508,0.01,0.18879434344834758,0.5807172143687657,0.053919007404687594,1762.181,18071,14611,1.0,0.018866714035665387,3265.9979999999996,0.18879434344834758,0.053919007404687594,1762.181,0.0010629141176946317,0.023336956521739095,4.293999999999993,0.0,0.0,0.0
60,ridge_price_kalshi_core_alpha_10,kalshi_core,price,10.0,173109,16,0.38,0.1298598891385074,0.0848195591082835,0.8494513614812025,0.3346852798500043,0.6119940225733661,0.5933610947283137,0.25829391424330406,0.01,0.187852740181042,0.581044927580799,0.054124880838894183,1760.087,17973,14546,1.0,0.018864004760006697,3265.5289999999995,0.187852740181042,0.054124880838894183,1760.087,0.001057137410533248,0.023076502732240402,4.222999999999994,0.0,0.0,0.0
60,ridge_price_kalshi_core_alpha_1000,kalshi_core,price,1000.0,173109,16,0.367,0.12987080769565723,0.08486729232490081,0.8494260443023837,0.3346852798500043,0.6119613992170156,0.5927117402105339,0.2559505611559551,0.01,0.19308643686925578,0.567808526551982,0.05213923709798055,1742.754,18837,14588,1.0,0.01921677671293809,3326.5969999999998,0.19308643686925578,0.05213923709798055,1742.754,0.001010923753242177,0.024262857142857114,4.245999999999995,0.0,0.0,0.0
60,ridge_price_kalshi_spot_alpha_0.1,kalshi_spot,price,0.1,173109,29,0.633,0.1212955393527734,0.07993056705004181,0.8686541254018244,0.3346852798500043,0.6375832859839716,0.6482107006475673,0.39863535247468496,0.1,0.035064612469600076,0.7976935749588139,0.12118830313014828,735.613,2654,3416,1.0,0.029482424368461487,5103.673,0.7275011697832002,0.0421189880654613,5304.339,0.188921431005898,0.08646813845401174,2827.8540000000003,0.035064612469600076,0.12118830313014828,735.613
60,ridge_price_kalshi_spot_alpha_10,kalshi_spot,price,10.0,173109,29,0.63,0.12129524509031979,0.079930749217646,0.8686547626900982,0.3346852798500043,0.6375841652053518,0.6481749563621849,0.39864168751353496,0.1,0.03505883576243869,0.797660240566815,0.12116213544241228,735.3330000000001,2657,3412,1.0,0.02946359230311538,5100.4130000000005,0.7275069464903615,0.04213428830059235,5306.307999999999,0.18894453783454354,0.08647382903265255,2828.3859999999995,0.03505883576243869,0.12116213544241228,735.3330000000001
60,ridge_price_kalshi_spot_alpha_1000,kalshi_spot,price,1000.0,173109,29,0.586,0.12129118120713754,0.07995248934438057,0.8686635637401116,0.3346852798500043,0.6375963076072646,0.647990277554376,0.3986718785335437,0.1,0.03509927271256838,0.7990454246214614,0.12148140223831468,738.121,2652,3424,1.0,0.029367300371442275,5083.744000000001,0.7271256838177103,0.04214305802720223,5304.630999999999,0.18959730574377992,0.08628274580299199,2831.886,0.03509927271256838,0.12148140223831468,738.121
60,ridge_price_kalshi_cross_coin_alpha_0.1,kalshi_cross_coin,price,0.1,173109,43,0.888,0.12799892018411183,0.08433594829455573,0.8537353458527783,0.3346852798500043,0.6175543775290117,0.5861943655091476,0.24827035074717843,0.05,0.04969701170938542,0.6421015924677438,0.07110775310938044,611.74,3848,4755,1.0,0.01428260229104206,2472.447,0.5421266369743919,0.027630728739331034,2593.0609999999997,0.04969701170938542,0.07110775310938044,611.74,0.005043065351888117,0.14083046964490264,122.94500000000001
60,ridge_price_kalshi_cross_coin_alpha_10,kalshi_cross_coin,price,10.0,173109,43,0.86,0.12799893015287825,0.0843361090225594,0.8537353230701137,0.3346852798500043,0.6175543477435176,0.5862003228900446,0.2482828332666305,0.05,0.04967390488073988,0.6420514013257356,0.07109663914408651,611.3599999999999,3846,4753,1.0,0.014274018104200243,2470.961,0.5420111028311642,0.02763600029842156,2593.0029999999997,0.04967390488073988,0.07109663914408651,611.3599999999999,0.005043065351888117,0.14099083619702177,123.08500000000001
