horizon_seconds,experiment,feature_group,target_mode,alpha,n_test_rows,n_features,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p0025,avg_realized_pnl_thr_0p0025,total_realized_pnl_thr_0p0025,coverage_thr_0p005,avg_realized_pnl_thr_0p005,total_realized_pnl_thr_0p005,coverage_thr_0p01,avg_realized_pnl_thr_0p01,total_realized_pnl_thr_0p01,coverage_thr_0p02,avg_realized_pnl_thr_0p02,total_realized_pnl_thr_0p02,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p075,avg_realized_pnl_thr_0p075,total_realized_pnl_thr_0p075,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1,coverage_thr_0p15,avg_realized_pnl_thr_0p15,total_realized_pnl_thr_0p15,coverage_thr_0p2,avg_realized_pnl_thr_0p2,total_realized_pnl_thr_0p2
1,persistence,none,persistence,0.0,203254,0,0.053,0.016658362961580964,0.0018978839284835723,0.9971928977246752,0.31441496044259765,0.9470179060877663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,trend_5s,none,trend_5s,0.0,202070,2,0.074,0.018203156805944032,0.0037768862275449106,0.9966665350075115,0.3152816980635611,0.9422638328905655,0.0,-0.000020392475102055646,0.0,0.15485227891324788,0.0,-0.012210475855677354,-382.0780000000001,15626,15665,0.15485227891324788,-0.012210475855677354,-382.0780000000001,0.11796407185628742,-0.013689893862482698,-326.3260000000001,0.09759489285891028,-0.01424065716748644,-280.8400000000001,0.06680853169693671,-0.014927111111111117,-201.51600000000008,0.030811105062602068,-0.016522646964343083,-102.87000000000003,0.0037066363141485623,-0.023951935914552733,-17.939999999999998,0.000965012124511308,-0.02635897435897437,-5.140000000000002,0.000321670708170436,-0.029923076923076913,-1.9449999999999994,0.000024743900628495074,-0.020000000000000018,-0.10000000000000009,0.0,0.0,0.0
1,ridge_price_kalshi_core_alpha_0.1,kalshi_core,price,0.1,189059,16,0.511,0.016823125226905784,0.002244173550564767,0.9973185919308497,0.3248816795920464,0.9482176857493763,0.6699447895100069,0.03793912672063032,0.0,1.0,0.016941801236650993,-0.010569372523921101,-1998.2349999999997,89939,99120,1.0,-0.010569372523921101,-1998.2349999999997,0.015772853976800894,-0.010926559356136822,-32.583000000000006,0.0029514595972685775,-0.02039247311827958,-11.379000000000005,0.0005183567034629401,-0.02887755102040816,-2.8299999999999996,0.000042314832935750214,-0.02225,-0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_core_alpha_10,kalshi_core,price,10.0,189059,16,0.444,0.016823326621909242,0.002243092528904208,0.9973185277304811,0.3248816795920464,0.9482170658467591,0.6725327812284334,0.0376655089053159,0.0,1.0,0.017010562840171585,-0.010555318710032317,-1995.578,89792,99267,1.0,-0.010555318710032317,-1995.578,0.01579401139326877,-0.01156932350971199,-34.54600000000001,0.0029461702431516088,-0.020411131059245965,-11.369000000000003,0.0005130673493459714,-0.02845360824742268,-2.7600000000000002,0.00004760418705271899,-0.02644444444444445,-0.23800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_core_alpha_1000,kalshi_core,price,1000.0,189059,16,0.429,0.016925558511525135,0.0031313957468564507,0.9972858392016287,0.3248816795920464,0.9479023916252263,0.5238095238095238,0.01089038207699252,0.0,1.0,0.01263097763132144,-0.011561052369895112,-2185.721,92996,96063,1.0,-0.011561052369895112,-2185.721,0.119089807943552,-0.017850988230068848,-401.9150000000001,0.02102518261495089,-0.02859974842767296,-113.68400000000003,0.0037395733606969254,-0.0688062234794908,-48.645999999999994,0.0002962038305502515,-0.17149999999999999,-9.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_spot_alpha_0.1,kalshi_spot,price,0.1,189059,29,0.707,0.016748533284185615,0.003042969643208563,0.9973423173706504,0.3248816795920464,0.9484472830071036,0.7632850241545893,0.10138148558815226,0.005,0.01984036729274988,0.03145827779258864,-0.0075289256198347145,-28.241000000000014,1718,2033,1.0,-0.010242046133746607,-1936.3509999999999,0.11489006077467881,-0.008669766585332169,-188.31600000000003,0.01984036729274988,-0.0075289256198347145,-28.241000000000014,0.0023431838738171683,-0.01083747178329572,-4.801000000000004,0.00016396997762603208,-0.021129032258064527,-0.6550000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_spot_alpha_10,kalshi_spot,price,10.0,189059,29,0.619,0.01674866041571508,0.0030433286306945214,0.9973422770236499,0.3248816795920464,0.9484468916907031,0.7643202208419599,0.10131660080335157,0.005,0.019835077938632914,0.030666666666666665,-0.007669333333333336,-28.760000000000012,1722,2028,1.0,-0.010237745888849513,-1935.538,0.11496411173231637,-0.008672693811824249,-188.50100000000003,0.019835077938632914,-0.007669333333333336,-28.760000000000012,0.002353762582051106,-0.010831460674157313,-4.820000000000004,0.00016396997762603208,-0.021129032258064527,-0.6550000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_spot_alpha_1000,kalshi_spot,price,1000.0,189059,29,0.625,0.016847133471059254,0.003644762554542202,0.9973109332070298,0.3248816795920464,0.9481437873252374,0.6922015182884748,0.07442242021934038,0.0,1.0,0.01768760016714359,-0.010602573799713317,-2004.512,95567,93492,1.0,-0.010602573799713317,-2004.512,0.24550537133910577,-0.012030248841969191,-558.384,0.05160293876514739,-0.016067035670356708,-156.75000000000003,0.007664274115487758,-0.03833402346445825,-55.54600000000001,0.0006664586187380659,-0.11518253968253966,-14.512999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_cross_coin_alpha_0.1,kalshi_cross_coin,price,0.1,189059,43,0.919,0.01678881795118795,0.002889957240581808,0.9973295171312025,0.3248816795920464,0.9483232850425125,0.6796066252587992,0.07722218574021829,0.0,1.0,0.01716395410956368,-0.010633585282901105,-2010.375,91576,97483,1.0,-0.010633585282901105,-2010.375,0.0923415441740409,-0.01089448963226028,-190.196,0.01750247277304968,-0.013757328498035666,-45.52300000000002,0.0022215287291268864,-0.010338095238095231,-4.341999999999997,0.00012694449880725064,-0.016041666666666697,-0.38500000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge_price_kalshi_cross_coin_alpha_10,kalshi_cross_coin,price,10.0,189059,43,0.933,0.016788984025053685,0.0028912042756303246,0.9973294642984649,0.3248816795920464,0.9483227738599,0.6792615596963423,0.07713837136348671,0.0,1.0,0.017132217984861867,-0.010641424105702452,-2011.857,91646,97413,1.0,-0.010641424105702452,-2011.857,0.09254782898460269,-0.010887180659541635,-190.493,0.01750247277304968,-0.013586279842852827,-44.95700000000001,0.002232107437360824,-0.010341232227488143,-4.363999999999996,0.0001375232070411882,-0.020192307692307725,-0.5250000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
